Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83676;16/07/1981;1200;0;;16.1;;;;;;
83676;17/07/1981;0000;;27.3;;9.5;5.7;18.46;64;4.9;
83676;17/07/1981;1200;0;;14.3;;;;;;
83676;22/07/1981;0000;;25.1;;7.5;4.3;;;;
83676;22/07/1981;1200;0;;3;;;;;;
83676;23/07/1981;0000;;26.4;;9.6;7.5;17.96;42.5;2.6;
83676;23/07/1981;1200;0;;9.8;;;;;;
83676;24/07/1981;0000;;20.4;;0.3;8.3;15.76;68.75;4.566667;
83676;24/07/1981;1200;0;;13.3;;;;;;
83676;25/07/1981;0000;;21.6;;8;4.8;14.24;51;2.533333;
83676;25/07/1981;1200;0;;9.6;;;;;;
83676;26/07/1981;0000;;26.8;;9.8;6.2;16.72;42.75;2.566667;
83676;26/07/1981;1200;0;;7.5;;;;;;
83676;27/07/1981;0000;;28.2;;9.3;7.9;18.36;42;2.033333;
83676;27/07/1981;1200;0;;10;;;;;;
83676;28/07/1981;0000;;29.2;;9.2;8.3;19.76;45.25;1.733333;
83676;28/07/1981;1200;0;;11.5;;;;;;
83676;29/07/1981;0000;;29.1;;9.2;8.1;20.06;51.25;1.866667;
83676;29/07/1981;1200;0;;14;;;;;;
83676;30/07/1981;0000;;27.7;;8.8;6.9;19.62;49.25;3.366667;
83676;30/07/1981;1200;0;;12.9;;;;;;
83676;31/07/1981;0000;;28.2;;9.1;7.9;19.88;45;2.466667;
83676;31/07/1981;1200;0;;14.8;;;;;;
83676;01/08/1981;0000;;27.4;;8.9;7.3;19.28;47.5;2.566667;
83676;01/08/1981;1200;0;;13.2;;;;;;
83676;02/08/1981;0000;;28.3;;9.9;8.4;20.5;48.5;2.466667;
83676;02/08/1981;1200;0;;14.5;;;;;;
83676;03/08/1981;0000;;30.2;;10;7.3;21.42;48.25;4.233333;
83676;03/08/1981;1200;0;;15.8;;;;;;
83676;04/08/1981;0000;;30.9;;9.8;8.5;;;;
83676;04/08/1981;1200;0;;17.2;;;;;;
83676;05/08/1981;0000;;30;;10.2;9.1;;;;
83676;05/08/1981;1200;0;;15.2;;;;;;
83676;06/08/1981;0000;;29.2;;10.1;8.4;22.1;51;4.666667;
83676;06/08/1981;1200;0;;17.2;;;;;;
83676;07/08/1981;0000;;30.3;;9.9;7.7;22.38;47.75;3.233333;
83676;07/08/1981;1200;0;;15.9;;;;;;
83676;08/08/1981;0000;;28.9;;3.6;8;21.84;53;1.9;
83676;08/08/1981;1200;0;;16.8;;;;;;
83676;09/08/1981;0000;;26.6;;1.6;6.6;20.56;61;3.066667;
83676;09/08/1981;1200;0;;16.7;;;;;;
83676;10/08/1981;0000;;26.1;;3.4;6.7;19.5;66.75;3.633333;
83676;10/08/1981;1200;0;;15.5;;;;;;
83676;11/08/1981;0000;;30.3;;8;6;21.76;53;2.733333;
83676;11/08/1981;1200;0;;15;;;;;;
83676;12/08/1981;0000;;31.4;;9.3;7.1;;;;
83676;12/08/1981;1200;0;;16.9;;;;;;
83676;13/08/1981;0000;;31.9;;4.3;7;;;;
83676;13/08/1981;1200;0;;18;;;;;;
